"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","telegraf.al"
2012-11-01,"Albania",3,2,37,2,15,3,0,11,29,27,2,2,14,2,14,4,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00162689804772234,0.00108459869848156,0.0200650759219089,0.00108459869848156,0.00813449023861171,0.00162689804772234,0,0.00596529284164859,0.0157266811279826,0.0146420824295011,0.00108459869848156,0.00108459869848156,0.00759219088937093,0.00108459869848156,0.00759219088937093,0.00216919739696312,0,0.000542299349240781,0.00162689804772234,0.0027114967462039,0,0,0,0,0,0,0,0,0,0,0,0,0.000542299349240781,0,0,0,0,0,0,0,30,7,9,0,34,14,0,0,1,32,22,0.0162689804772234,0.00379609544468547,0.00488069414316703,0,0.0184381778741865,0.00759219088937093,0,0,0.000542299349240781,0.017353579175705,0.0119305856832972,1844,1532,1843,5.23097387231991,0,0.000542299349240781,1844,1
2012-12-01,"Albania",5,1,50,2,12,2,1,30,39,12,0,2,21,3,16,7,1,2,6,8,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0.0026581605528974,0.000531632110579479,0.0265816055289739,0.00106326422115896,0.00637958532695375,0.00106326422115896,0.000531632110579479,0.0159489633173844,0.0207336523125997,0.00637958532695375,0,0.00106326422115896,0.0111642743221691,0.00159489633173844,0.00850611376927166,0.00372142477405635,0.000531632110579479,0.00106326422115896,0.00318979266347687,0.00425305688463583,0,0,0,0,0,0,0,0,0.000531632110579479,0,0,0,0.00159489633173844,0,0,0,0,0,0,0,24,8,9,2,40,23,3,1,1,31,22,0.0127591706539075,0.00425305688463583,0.00478468899521531,0.00106326422115896,0.0212652844231792,0.012227538543328,0.00159489633173844,0.000531632110579479,0.000531632110579479,0.0164805954279638,0.0116959064327485,1881,1518,1877,6.13778538268178,0.000531632110579479,0.00159489633173844,1881,1
2013-01-01,"Albania",7,0,64,3,17,3,0,25,30,22,1,1,19,6,5,3,1,1,2,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00403225806451613,0,0.0368663594470046,0.00172811059907834,0.0097926267281106,0.00172811059907834,0,0.0144009216589862,0.0172811059907834,0.0126728110599078,0.000576036866359447,0.000576036866359447,0.0109447004608295,0.00345622119815668,0.00288018433179724,0.00172811059907834,0.000576036866359447,0.000576036866359447,0.00115207373271889,0.00345622119815668,0,0,0,0,0,0,0,0,0.000576036866359447,0,0,0,0.000576036866359447,0,0,0,0,0,0,0,22,3,10,1,37,25,1,0,0,40,39,0.0126728110599078,0.00172811059907834,0.00576036866359447,0.000576036866359447,0.0213133640552995,0.0144009216589862,0.000576036866359447,0,0,0.0230414746543779,0.0224654377880184,1736,1361,1734,5.14089216388744,0,0.00115207373271889,1736,1
2013-02-01,"Albania",6,0,58,6,15,4,3,22,45,28,1,1,20,2,10,7,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334075723830735,0,0.032293986636971,0.00334075723830735,0.00835189309576837,0.0022271714922049,0.00167037861915367,0.0122494432071269,0.0250556792873051,0.0155902004454343,0.000556792873051225,0.000556792873051225,0.0111358574610245,0.00111358574610245,0.00556792873051225,0.00389755011135857,0,0.0022271714922049,0.00167037861915367,0.00389755011135857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,9,1,48,14,2,2,4,28,27,0.0150334075723831,0.00334075723830735,0.00501113585746102,0.000556792873051225,0.0267260579064588,0.00779510022271715,0.00111358574610245,0.00111358574610245,0.0022271714922049,0.0155902004454343,0.0150334075723831,1796,1412,1796,6.22594255391777,0,0,1796,1
2013-03-01,"Albania",8,2,90,6,16,1,0,28,35,30,0,0,18,2,11,5,0,0,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00382958353279081,0.000957395883197702,0.0430828147438966,0.00287218764959311,0.00765916706558162,0.000478697941598851,0,0.0134035423647678,0.0167544279559598,0.0143609382479655,0,0,0.00861656294877932,0.000957395883197702,0.00526567735758736,0.00239348970799426,0,0,0.00239348970799426,0.00287218764959311,0,0,0,0,0,0,0,0,0.000478697941598851,0,0,0,0,0,0,0,0,0,0,0,40,10,8,0,47,30,4,2,1,18,29,0.019147917663954,0.00478697941598851,0.00382958353279081,0,0.022498803255146,0.0143609382479655,0.0019147917663954,0.000957395883197702,0.000478697941598851,0.00861656294877932,0.0138822403063667,2089,1648,2088,5.19662749923045,0.000478697941598851,0,2089,1
2013-04-01,"Albania",6,0,86,14,58,1,1,23,30,19,0,1,19,3,20,33,0,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027972027972028,0,0.0400932400932401,0.00652680652680653,0.027039627039627,0.000466200466200466,0.000466200466200466,0.0107226107226107,0.013986013986014,0.00885780885780886,0,0.000466200466200466,0.00885780885780886,0.0013986013986014,0.00932400932400932,0.0153846153846154,0,0.000932400932400932,0.0027972027972028,0.00466200466200466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,16,16,1,50,21,4,0,4,38,40,0.0242424242424242,0.00745920745920746,0.00745920745920746,0.000466200466200466,0.0233100233100233,0.00979020979020979,0.00186480186480186,0,0.00186480186480186,0.0177156177156177,0.0186480186480186,2145,1599,2145,5.8723462481462,0,0,2145,1
2013-05-01,"Albania",3,1,146,11,15,3,2,10,37,17,0,2,12,3,6,6,0,5,6,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.001434034416826,0.000478011472275335,0.0697896749521989,0.00525812619502868,0.00717017208413002,0.001434034416826,0.000956022944550669,0.00478011472275335,0.0176864244741874,0.00812619502868069,0,0.000956022944550669,0.00573613766730402,0.001434034416826,0.00286806883365201,0.00286806883365201,0,0.00239005736137667,0.00286806883365201,0.00573613766730402,0,0,0,0.000478011472275335,0,0,0,0,0.000478011472275335,0,0,0,0,0,0,0,0,0,0,0,33,8,5,0,34,27,3,0,7,19,32,0.015774378585086,0.00382409177820268,0.00239005736137667,0,0.0162523900573614,0.012906309751434,0.001434034416826,0,0.00334608030592734,0.00908221797323136,0.0152963671128107,2092,1645,2090,5.61283313537704,0.000478011472275335,0.000478011472275335,2092,1
2013-06-01,"Albania",4,2,226,20,21,2,0,11,21,17,0,5,14,5,10,9,2,3,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202020202020202,0.00101010101010101,0.114141414141414,0.0101010101010101,0.0106060606060606,0.00101010101010101,0,0.00555555555555556,0.0106060606060606,0.00858585858585859,0,0.00252525252525253,0.00707070707070707,0.00252525252525253,0.00505050505050505,0.00454545454545455,0.00101010101010101,0.00151515151515152,0.00353535353535354,0.00808080808080808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,6,1,30,12,0,0,1,20,16,0.0136363636363636,0.00454545454545455,0.00303030303030303,0.000505050505050505,0.0151515151515152,0.00606060606060606,0,0,0.000505050505050505,0.0101010101010101,0.00808080808080808,1980,1475,1980,6.37450016188755,0.00101010101010101,0,1980,1
2013-07-01,"Albania",3,0,95,21,18,1,1,15,25,9,0,4,13,2,11,13,0,4,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162425554953979,0,0.0514347590687602,0.0113697888467786,0.00974553329723877,0.000541418516513265,0.000541418516513265,0.00812127774769897,0.0135354629128316,0.00487276664861938,0,0.00216567406605306,0.00703844071467244,0.00108283703302653,0.00595560368164591,0.00703844071467244,0,0.00216567406605306,0.00649702219815918,0.00595560368164591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,8,1,41,7,1,1,5,34,43,0.0151597184623714,0.00270709258256632,0.00433134813210612,0.000541418516513265,0.0221981591770439,0.00378992961559285,0.000541418516513265,0.000541418516513265,0.00270709258256632,0.018408229561451,0.0232809962100704,1847,1430,1847,5.94850298980025,0,0,1847,1
2013-08-01,"Albania",2,0,29,2,13,1,0,21,21,3,1,5,11,1,13,5,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137551581843191,0,0.0199449793672627,0.00137551581843191,0.00894085281980743,0.000687757909215956,0,0.0144429160935351,0.0144429160935351,0.00206327372764787,0.000687757909215956,0.00343878954607978,0.00756533700137552,0.000687757909215956,0.00894085281980743,0.00343878954607978,0.000687757909215956,0.00343878954607978,0.00137551581843191,0.00343878954607978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,9,0,31,8,1,0,4,28,33,0.0137551581843191,0.00550206327372765,0.0061898211829436,0,0.0213204951856946,0.00550206327372765,0.000687757909215956,0,0.00275103163686382,0.0192572214580468,0.0226960110041265,1454,1181,1454,5.76336448465834,0.000687757909215956,0,1454,1
2013-09-01,"Albania",2,0,41,1,25,3,0,7,37,21,0,2,26,0,8,19,0,3,2,7,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0.00122100122100122,0,0.025030525030525,0.000610500610500611,0.0152625152625153,0.00183150183150183,0,0.00427350427350427,0.0225885225885226,0.0128205128205128,0,0.00122100122100122,0.0158730158730159,0,0.00488400488400488,0.0115995115995116,0,0.00183150183150183,0.00122100122100122,0.00427350427350427,0,0,0,0,0,0,0,0,0.00366300366300366,0,0,0,0,0.000610500610500611,0,0,0,0,0,0,28,7,12,0,36,9,5,1,1,26,32,0.0170940170940171,0.00427350427350427,0.00732600732600733,0,0.021978021978022,0.00549450549450549,0.00305250305250305,0.000610500610500611,0.000610500610500611,0.0158730158730159,0.0195360195360195,1638,1304,1631,6.63822955828457,0.00122100122100122,0.00305250305250305,1638,1
2013-10-01,"Albania",14,0,41,5,30,0,0,18,27,32,0,2,21,4,7,19,1,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00709219858156028,0,0.0207700101317123,0.00253292806484296,0.0151975683890578,0,0,0.00911854103343465,0.013677811550152,0.0162107396149949,0,0.00101317122593718,0.0106382978723404,0.00202634245187437,0.00354609929078014,0.00962512664640324,0.000506585612968592,0.00101317122593718,0.00151975683890578,0.00405268490374873,0,0,0,0,0,0,0,0,0,0,0,0,0.000506585612968592,0,0,0,0,0,0,0,32,11,15,0,48,30,7,2,3,17,23,0.0162107396149949,0.00557244174265451,0.00759878419452888,0,0.0243161094224924,0.0151975683890578,0.00354609929078014,0.00101317122593718,0.00151975683890578,0.00861195542046606,0.0116514690982776,1974,1575,1973,5.92704134777364,0.000506585612968592,0,1974,1
2013-11-01,"Albania",11,2,41,13,32,2,1,13,57,18,2,4,42,3,60,15,2,1,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0053921568627451,0.000980392156862745,0.0200980392156863,0.00637254901960784,0.0156862745098039,0.000980392156862745,0.000490196078431373,0.00637254901960784,0.0279411764705882,0.00882352941176471,0.000980392156862745,0.00196078431372549,0.0205882352941176,0.00147058823529412,0.0294117647058824,0.00735294117647059,0.000980392156862745,0.000490196078431373,0.00245098039215686,0.00245098039215686,0,0,0,0,0,0,0,0,0.000490196078431373,0,0,0,0,0,0,0,0,0,0,0,51,12,19,0,52,10,6,0,6,22,19,0.025,0.00588235294117647,0.00931372549019608,0,0.0254901960784314,0.00490196078431373,0.00294117647058824,0,0.00294117647058824,0.0107843137254902,0.00931372549019608,2040,1569,2039,7.89048808258359,0,0.000980392156862745,2040,1
2013-12-01,"Albania",8,3,17,1,15,0,0,15,65,28,0,3,53,2,19,12,1,1,8,14,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00408788962698007,0.00153295861011753,0.00868676545733265,0.000510986203372509,0.00766479305058763,0,0,0.00766479305058763,0.0332141032192131,0.0143076136944302,0,0.00153295861011753,0.027082268778743,0.00102197240674502,0.00970873786407767,0.00613183444047011,0.000510986203372509,0.000510986203372509,0.00408788962698007,0.00715380684721512,0,0,0,0,0.000510986203372509,0,0,0,0.000510986203372509,0,0,0,0.000510986203372509,0,0,0,0,0,0,0,58,13,30,0,62,41,6,0,1,27,27,0.0296371997956055,0.00664282064384262,0.0153295861011753,0,0.0316811446090956,0.0209504343382729,0.00306591722023505,0,0.000510986203372509,0.0137966274910577,0.0137966274910577,1957,1490,1954,8.40525368337399,0.00255493101686254,0,1957,1
2014-01-01,"Albania",5,0,19,0,24,1,0,24,62,23,3,6,27,0,7,9,0,1,8,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00266666666666667,0,0.0101333333333333,0,0.0128,0.000533333333333333,0,0.0128,0.0330666666666667,0.0122666666666667,0.0016,0.0032,0.0144,0,0.00373333333333333,0.0048,0,0.000533333333333333,0.00426666666666667,0.00746666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.000533333333333333,0,0,0,0,0,0,0,64,20,15,0,44,25,4,2,4,23,46,0.0341333333333333,0.0106666666666667,0.008,0,0.0234666666666667,0.0133333333333333,0.00213333333333333,0.00106666666666667,0.00213333333333333,0.0122666666666667,0.0245333333333333,1875,1426,1874,6.90814029821602,0.000533333333333333,0,1875,1
2014-02-01,"Albania",16,1,22,1,25,0,2,16,48,31,1,3,35,0,68,13,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00797209765819631,0.00049825610363727,0.0109616342800199,0.00049825610363727,0.0124564025909317,0,0.000996512207274539,0.00797209765819631,0.0239162929745889,0.0154459392127554,0.00049825610363727,0.00149476831091181,0.0174389636273044,0,0.0338814150473343,0.0064773293472845,0,0.00049825610363727,0.00348779272546089,0.00199302441454908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,12,12,0,45,32,5,2,4,30,24,0.0338814150473343,0.00597907324364723,0.00597907324364723,0,0.0224215246636771,0.0159441953163926,0.00249128051818635,0.000996512207274539,0.00199302441454908,0.0149476831091181,0.0119581464872945,2007,1513,2007,7.26752646861505,0,0,2007,1
2014-03-01,"Albania",17,0,6,0,20,3,0,13,58,20,1,5,32,3,17,5,2,1,5,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00838677849037987,0,0.0029600394671929,0,0.00986679822397632,0.00148001973359645,0,0.00641341884558461,0.0286137148495313,0.00986679822397632,0.000493339911198816,0.00246669955599408,0.0157868771583621,0.00148001973359645,0.00838677849037987,0.00246669955599408,0.000986679822397632,0.000493339911198816,0.00246669955599408,0.00690675875678342,0,0,0,0,0.00148001973359645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000493339911198816,0,60,15,15,0,53,44,7,0,2,29,33,0.029600394671929,0.00740009866798224,0.00740009866798224,0,0.0261470152935372,0.0217069560927479,0.00345337937839171,0,0.000986679822397632,0.0143068574247657,0.0162802170695609,2027,1582,2023,7.52487888801845,0.00246669955599408,0,2027,1
